sep=;
Value;FromStart;FromEnd;Math;NfPs;NfPe
0.0;0.688172179310195;0.6881721793101951;0.6931471805599453;0.6881721793101953;0.6881721793101951
1.0;0.6881711858118007;0.6881711858118011;0.6930471755596119;0.6881711858118009;0.6881711858118011
2.0;0.6881682310711709;0.6881682310711708;0.6929471605572782;0.688168231071171;0.6881682310711708
3.0;0.6881633531599347;0.6881633531599345;0.6928471355509433;0.6881633531599345;0.6881633531599345
4.0;0.6881565894142245;0.6881565894142245;0.6927471005386057;0.6881565894142248;0.6881565894142245
5.0;0.6881479764487392;0.6881479764487395;0.6926470555182631;0.6881479764487386;0.6881479764487395
6.0;0.6881375501705438;0.6881375501705438;0.692547000487913;0.6881375501705435;0.6881375501705438
7.0;0.688125345792605;0.6881253457926044;0.692446935445552;0.6881253457926048;0.6881253457926044
8.0;0.6881113978470718;0.6881113978470719;0.6923468603891763;0.6881113978470714;0.6881113978470719
9.0;0.688095740198311;0.6880957401983107;0.6922467753167812;0.6880957401983108;0.6880957401983107
10.0;0.6880784060556808;0.6880784060556808;0.6921466802263618;0.6880784060556807;0.6880784060556808
11.0;0.6880594279860793;0.6880594279860794;0.6920465751159124;0.6880594279860792;0.6880594279860794
12.0;0.6880388379262422;0.688038837926243;0.6919464599834265;0.6880388379262428;0.688038837926243
13.0;0.6880166671948168;0.6880166671948168;0.6918463348268974;0.6880166671948164;0.6880166671948168
14.0;0.6879929465041966;0.6879929465041967;0.6917461996443173;0.6879929465041973;0.6879929465041967
15.0;0.6879677059721445;0.6879677059721447;0.6916460544336783;0.6879677059721445;0.6879677059721447
16.0;0.6879409751331859;0.6879409751331853;0.6915458991929716;0.6879409751331858;0.6879409751331854
17.0;0.6879127829497854;0.6879127829497853;0.6914457339201879;0.6879127829497854;0.6879127829497853
18.0;0.6878831578233217;0.6878831578233213;0.6913455586133174;0.6878831578233214;0.6878831578233213
19.0;0.6878521276048393;0.6878521276048396;0.6912453732703492;0.6878521276048394;0.6878521276048396
20.0;0.687819719605611;0.6878197196056117;0.6911451778892724;0.6878197196056113;0.6878197196056117
21.0;0.6877859606074888;0.6877859606074888;0.6910449724680753;0.687785960607489;0.6877859606074888
22.0;0.6877508768730604;0.6877508768730604;0.6909447570047454;0.68775087687306;0.6877508768730604
23.0;0.6877144941556202;0.6877144941556199;0.69084453149727;0.6877144941556199;0.6877144941556199
24.0;0.6876768377089403;0.6876768377089405;0.6907442959436352;0.6876768377089403;0.6876768377089405
25.0;0.6876379322968662;0.6876379322968658;0.6906440503418271;0.6876379322968664;0.6876379322968658
26.0;0.6875978022027178;0.6875978022027174;0.6905437946898307;0.6875978022027178;0.6875978022027174
27.0;0.687556471238525;0.687556471238525;0.6904435289856308;0.6875564712385253;0.6875564712385251
28.0;0.6875139627540796;0.6875139627540798;0.6903432532272114;0.6875139627540798;0.6875139627540798
29.0;0.6874702996458164;0.687470299645816;0.6902429674125559;0.6874702996458163;0.687470299645816
30.0;0.6874255043655236;0.687425504365524;0.6901426715396469;0.6874255043655236;0.687425504365524
31.0;0.6873795989288974;0.687379598928897;0.6900423656064669;0.6873795989288969;0.687379598928897
32.0;0.6873326049239159;0.687332604923916;0.6899420496109973;0.6873326049239159;0.6873326049239161
33.0;0.6872845435190738;0.6872845435190742;0.6898417235512192;0.6872845435190743;0.6872845435190742
34.0;0.6872354354714447;0.6872354354714453;0.6897413874251128;0.6872354354714449;0.6872354354714453
35.0;0.687185301134598;0.6871853011345983;0.6896410412306581;0.6871853011345979;0.6871853011345983
36.0;0.6871341604663623;0.6871341604663619;0.689540684965834;0.6871341604663621;0.6871341604663619
37.0;0.6870820330364393;0.6870820330364397;0.6894403186286192;0.6870820330364392;0.6870820330364398
