x;n = 10;n = 25;n = 50;n = 100
0,91042;2,68E-13;1,14E-17;1,14E-17;1,14E-17
0,90885;3,26E-13;1,20E-17;1,20E-17;1,20E-17
0,90728;3,94E-13;1,22E-17;1,22E-17;1,22E-17
0,90571;4,76E-13;1,10E-17;1,10E-17;1,10E-17
0,90414;5,72E-13;1,23E-17;1,23E-17;1,23E-17
0,90257;6,86E-13;1,14E-17;1,14E-17;1,14E-17
0,901;8,21E-13;1,29E-17;1,29E-17;1,29E-17
0,89943;9,78E-13;1,28E-17;1,28E-17;1,28E-17
0,89786;1,16E-12;1,27E-17;1,27E-17;1,27E-17
0,89629;1,38E-12;1,21E-17;1,21E-17;1,21E-17
0,89472;1,63E-12;1,16E-17;1,16E-17;1,16E-17
0,89315;1,93E-12;1,23E-17;1,23E-17;1,23E-17
0,89158;2,27E-12;1,23E-17;1,23E-17;1,23E-17
0,89001;2,66E-12;1,18E-17;1,18E-17;1,18E-17
0,88844;3,12E-12;1,29E-17;1,29E-17;1,29E-17
0,88687;3,65E-12;1,21E-17;1,21E-17;1,21E-17
0,8853;4,26E-12;1,29E-17;1,29E-17;1,29E-17
0,88373;4,96E-12;1,40E-17;1,40E-17;1,40E-17
0,88216;5,76E-12;1,49E-17;1,49E-17;1,49E-17
0,88059;6,68E-12;2,54E-17;2,54E-17;2,54E-17
0,87902;7,74E-12;2,70E-17;2,70E-17;2,70E-17
0,87745;8,94E-12;2,58E-17;2,58E-17;2,58E-17
0,87588;1,03E-11;2,37E-17;2,37E-17;2,37E-17
0,87431;1,19E-11;2,37E-17;2,37E-17;2,37E-17
0,87274;1,36E-11;2,69E-17;2,69E-17;2,69E-17
0,87117;1,56E-11;2,73E-17;2,73E-17;2,73E-17
0,8696;1,79E-11;2,46E-17;2,46E-17;2,46E-17
0,86803;2,05E-11;2,64E-17;2,64E-17;2,64E-17
0,86646;2,34E-11;2,67E-17;2,67E-17;2,67E-17
0,86489;2,67E-11;2,94E-17;2,94E-17;2,94E-17
0,86332;3,03E-11;2,58E-17;2,58E-17;2,58E-17
0,86175;3,45E-11;2,68E-17;2,68E-17;2,68E-17
0,86018;3,91E-11;2,40E-17;2,40E-17;2,40E-17
0,85861;4,43E-11;2,50E-17;2,50E-17;2,50E-17
0,85704;5,02E-11;2,50E-17;2,50E-17;2,50E-17
0,85547;5,67E-11;2,88E-17;2,88E-17;2,88E-17
0,8539;6,40E-11;2,61E-17;2,61E-17;2,61E-17
